"id","code","market_cap"
354,"VUL","902208043.00"
355,"SIG","900384954.00"
356,"SGF","896000490.00"
357,"IEM","892343317.00"
358,"MYR","878768332.00"
359,"RBD","872062076.00"
360,"PRN","869769693.00"
361,"VIF","867854739.00"
362,"FCL","861998866.00"
363,"TIE","859146717.00"
364,"THL","853927479.00"
365,"IFRA","853291606.00"
366,"HCW","852356985.00"
367,"SFY","851540601.00"
368,"WGX","850152800.00"
369,"IEU","846548412.00"
370,"RFF","837669513.00"
371,"TPW","837287471.00"
372,"RPL","835313198.00"
373,"URW","834001934.00"
374,"TYR","831217734.00"
375,"QAL","828844948.00"
376,"VBND","827808412.00"
377,"MCR","817289605.00"
378,"HTA","814350515.00"
379,"XARO","813326090.00"
380,"REG","812794281.00"
381,"CIN","810125055.00"
382,"VVLU","806477589.00"
383,"EHE","806086426.00"
384,"VSO","802891218.00"
385,"PL8","802465159.00"
386,"IDX","801620992.00"
387,"PGF","798643396.00"
388,"OBL","796851538.00"
389,"MICH","794815693.00"
390,"MQGPF","791175000.00"
391,"INR","786876850.00"
392,"HACK","786111216.00"
393,"FPR","781909817.00"
394,"DJW","779164022.00"
395,"AGG","769863012.00"
396,"QHAL","758820754.00"
397,"KMD","754028585.00"
398,"IAA","752796407.00"
399,"NVX","749632918.00"
400,"ACL","748804196.00"
401,"MQGPE","743938720.00"
402,"29M","743565352.00"
403,"RIC","742206876.00"
404,"EQT","741981566.00"
405,"VGE","735248644.00"
406,"VESG","734544294.00"
407,"NNUK","732801534.00"
408,"IWLD","726839927.00"
409,"WGB","724259297.00"
410,"BILL","719785196.00"
411,"VDGR","717998003.00"
412,"WTN","714839104.00"
413,"HPI","709184736.00"
414,"MOAT","694594786.00"
415,"SWM","692416686.00"
416,"MBLPC","684168117.00"
417,"DVP","682345733.00"
418,"MGX","680074826.00"
419,"MBLPD","677440256.00"
420,"SM1","675417332.00"
421,"PPM","672842434.00"
422,"KKC","670870472.00"
423,"KGN","664782789.00"
424,"FLOT","653921192.00"
425,"ILB","650578928.00"
426,"MVA","648577523.00"
427,"SNL","648264583.00"
428,"ERAR","645992060.00"
429,"IFM","644474705.00"
430,"PMT","641809081.00"
431,"VACF","641302046.00"
432,"BLY","639188094.00"
433,"TLG","636519314.00"
434,"VDBA","634763933.00"
435,"ACDC","633571614.00"
436,"QRI","630852116.00"
437,"NBI","625681329.00"
438,"WHF","619443017.00"
439,"ECX","618304606.00"
440,"PPC","610387064.00"
441,"RNU","596760762.00"
442,"RF1","589294357.00"
443,"VG1","588844746.00"
444,"JHG","587911772.00"
445,"USTB","584742403.00"
446,"PAC","584330406.00"
447,"OPH","583208337.00"
448,"HM1","581019665.00"
449,"MIR","580456812.00"
450,"CBO","577924733.00"
451,"AQZ","575430215.00"
452,"SSM","572836377.00"
453,"OCA","571738595.00"
454,"CRED","569304650.00"
455,"PBH","566152355.00"
456,"SBM","563413735.00"
457,"ALK","559871074.00"
458,"NTO","559514684.00"
459,"OMH","559507178.00"
460,"MOT","558989096.00"
461,"AEF","558271157.00"
462,"SHV","550816921.00"
463,"BNDS","543923022.00"
464,"GDX","543267397.00"
465,"ILC","543057487.00"
466,"BCB","542999965.00"
467,"TER","536647377.00"
468,"SLF","536536011.00"
469,"PFP","531163439.00"
470,"NXL","530582894.00"
471,"BENPH","529074164.00"
472,"AGVT","528395862.00"
473,"APX","528367179.00"
474,"MRM","522280293.00"
475,"GWA","521128047.00"
476,"IAGPE","519350000.00"
477,"DGL","518538393.00"
478,"OFX","517631104.00"
479,"ASG","512550000.00"
480,"ASIA","510927990.00"
